"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2586","Uncheck Subscribe Newsletter","chromium","2026-09-06","passed","2026-09-06","QA Playground - Radio And Checkbox Tests > Assert Checked State","radioAndCheckbox/radioAndCheckbox.spec.js","",""
"","2110","Scenario Disabled Controls","chromium","2026-09-06","passed","2026-09-06","QA Playground - Radio And Checkbox - Option Label Validations","radioAndCheckbox/radioAndCheckbox-validation.spec.js","",""
"","2430","Scenario: Dynamic Date Display","chromium","2026-09-06","passed","2026-09-06","QA Playground - Date Picker - Default Value Validation","datePicker/datePicker-validation.spec.js","",""
"","3259","Uncheck Marketing Emails","chromium","2026-09-06","passed","2026-09-06","QA Playground - Radio And Checkbox Tests > Sibling Located Controls","radioAndCheckbox/radioAndCheckbox.spec.js","",""
"","3725","Click About Us","chromium","2026-09-06","passed","2026-09-06","QA Playground - Links Tests > Internal Links","links/links.spec.js","",""
"","2440","Scenario: Disabled / Min-Max Dates","chromium","2026-09-06","passed","2026-09-06","QA Playground - Date Picker - Default Value Validation","datePicker/datePicker-validation.spec.js","",""
"","6220","Click Complete Course","chromium","2026-09-06","passed","2026-09-06","QA Playground - Links Tests > External Links","links/links.spec.js","",""
"","2926","Uncheck Weekly Digest","chromium","2026-09-06","passed","2026-09-06","QA Playground - Radio And Checkbox Tests > Sibling Located Controls","radioAndCheckbox/radioAndCheckbox.spec.js","",""
"","2183","Select Language options","chromium","2026-09-06","passed","2026-09-06","QA Playground - Dropdowns Options Validation","dropdowns/dropdowns-validation.spec.js","",""
"","2685","Validate Next Button Disabled On Last Page","chromium","2026-09-06","passed","2026-09-06","QA Playground - Data Table Pagination Validation","dataTable/dataTable-pagination.spec.js","",""
"","3274","Click Garbled 2","chromium","2026-09-06","passed","2026-09-06","QA Playground - Links Tests > Text Links","links/links.spec.js","",""
"","3525","Author Required Validation","chromium","2026-09-06","passed","2026-09-06","QA Playground - Data Table - Unsuccessful Add Book Validations","dataTable/dataTable-addBook.spec.js","",""
"","2902","Session Expiring Soon","chromium","2026-09-06","passed","2026-09-06","QA Playground - Alerts And Dialogs Tests > Scoped Dismiss Section","alertsAndDialogs/alertsAndDialogs.spec.js","",""
"","2045","Scenario Image Links: Broken Image","chromium","2026-09-06","passed","2026-09-06","QA Playground - Links - Href Attribute Validations","links/links-validation.spec.js","",""
"","6167","Edit All Fields Successfully","chromium","2026-09-06","passed","2026-09-06","QA Playground - Data Table - Successful Edit Validations","dataTable/dataTable-editBook.spec.js","",""
"","2772","Select WebdriverIO","chromium","2026-09-06","passed","2026-09-06","QA Playground - Radio And Checkbox Tests > Checkbox Group","radioAndCheckbox/radioAndCheckbox.spec.js","",""
"","2242","Scenario: Month Navigation","chromium","2026-09-06","passed","2026-09-06","QA Playground - Date Picker - Default Value Validation","datePicker/datePicker-validation.spec.js","",""
"","2947","Enter Start Date And End Date","chromium","2026-09-06","passed","2026-09-06","QA Playground - Date Picker Tests > Scenario: Date Range","datePicker/datePicker.spec.js","",""
"","2521","Book Published Ascending Sort","chromium","2026-09-06","passed","2026-09-06","QA Playground - Data Table - Sorting Validation","dataTable/dataTable-sorting.spec.js","",""
"","2147","Disabled Field","chromium","2026-09-06","passed","2026-09-06","QA Playground - Input Fields Tests > Scenario Disabled Input","inputFields/inputFields.spec.js","",""
"","3319","Blank Password And Confirm Password","chromium","2026-09-06","passed","2026-09-06","Account Setup Form Validation","forms/forms-negative.spec.js","",""
"","3160","Click Same Tab","chromium","2026-09-06","passed","2026-09-06","QA Playground - Links Tests > Broken Links","links/links.spec.js","",""
"","2108","Scenario: Sibling Tab Buttons","chromium","2026-09-06","passed","2026-09-06","QA Playground - Tabs and Windows - Default Value Validation","tabsAndWindows/tabsAndWindows-validation.spec.js","",""
"","3499","Blank Password","chromium","2026-09-06","passed","2026-09-06","Account Setup Form Validation","forms/forms-negative.spec.js","",""
"","2968","Search Existing Author","chromium","2026-09-06","passed","2026-09-06","QA Playground - Data Table - Successful Search Validations","dataTable/dataTable-search.spec.js","",""
"","2125","Read Field Input is Read-Only","chromium","2026-09-06","passed","2026-09-06","QA Playground - Input Fields Tests > Scenario Read Value","inputFields/inputFields.spec.js","",""
"","2614","Check SMS Alerts","chromium","2026-09-06","passed","2026-09-06","QA Playground - Radio And Checkbox Tests > Sibling Located Controls","radioAndCheckbox/radioAndCheckbox.spec.js","",""
"","2600","Confirm Action Section","chromium","2026-09-06","passed","2026-09-06","QA Playground - Alerts And Dialogs - Default Result Text Validations","alertsAndDialogs/alertsAndDialogs-validation.spec.js","",""
"","2512","Select Country","chromium","2026-09-06","passed","2026-09-06","QA Playground - Dropdowns Tests > Country Dropdown","dropdowns/dropdowns.spec.js","",""
"","2049","Double Click Section","chromium","2026-09-06","passed","2026-09-06","QA Playground - Buttons - Default Result Text Validations","buttons/buttons-validation.spec.js","",""
"","3132","Blank Email and Password","chromium","2026-09-06","passed","2026-09-06","Login Form Validation","forms/forms-negative.spec.js","",""
"","1817","Scenario Button Links: Broken Button","chromium","2026-09-06","passed","2026-09-06","QA Playground - Links - Href Attribute Validations","links/links-validation.spec.js","",""
"","3140","Select Priority via getter","chromium","2026-09-06","passed","2026-09-06","QA Playground - Dropdowns Tests > Custom Priority","dropdowns/dropdowns.spec.js","",""
"","1835","Scenario Button Links: Broken Link Button","chromium","2026-09-06","passed","2026-09-06","QA Playground - Links - Href Attribute Validations","links/links-validation.spec.js","",""
"","1871","Click Empty Href","chromium","2026-09-06","passed","2026-09-06","QA Playground - Links Tests > Broken Links","links/links.spec.js","",""
"","2360","Deselect Heroes","chromium","2026-09-06","passed","2026-09-06","QA Playground - Dropdowns Tests > Heroes Multi-Select","dropdowns/dropdowns.spec.js","",""
"","2278","Scenario: Open Link in New Tab","chromium","2026-09-06","passed","2026-09-06","QA Playground - Tabs and Windows - Default Value Validation","tabsAndWindows/tabsAndWindows-validation.spec.js","",""
"","2205","Validate Column Headers","chromium","2026-09-06","passed","2026-09-06","QA Playground - Data Table - Structure Validation","dataTable/dataTable-structure.spec.js","",""
"","2691","Clear Input Field via button","chromium","2026-09-06","passed","2026-09-06","QA Playground - Input Fields Tests > Scenario Clear Field","inputFields/inputFields.spec.js","",""
"","2647","Select Delete All","chromium","2026-09-06","passed","2026-09-06","QA Playground - Radio And Checkbox Tests > Dynamic Checkbox List","radioAndCheckbox/radioAndCheckbox.spec.js","",""
"","3311","Enter Appointment Date And Return Date","chromium","2026-09-06","passed","2026-09-06","QA Playground - Date Picker Tests > Scenario: Sibling Date Field","datePicker/datePicker.spec.js","",""
"","3549","Click Fill Again","chromium","2026-09-06","passed","2026-09-06","QA Playground - Forms Tests > Account Setup Form","forms/forms-positive.spec.js","",""
"","5577","Edit Author Successfully","chromium","2026-09-06","passed","2026-09-06","QA Playground - Data Table - Successful Edit Validations","dataTable/dataTable-editBook.spec.js","",""
"","2344","Backdrop Click Section","chromium","2026-09-06","passed","2026-09-06","QA Playground - Alerts And Dialogs - Default Result Text Validations","alertsAndDialogs/alertsAndDialogs-validation.spec.js","",""
"","2157","Select Fruit","chromium","2026-09-06","passed","2026-09-06","QA Playground - Dropdowns Tests > Fruit Dropdown","dropdowns/dropdowns.spec.js","",""
"","7063","Click Two Tabs","chromium","2026-09-06","passed","2026-09-06","QA Playground - Tabs and Windows Tests > Scenario: Multiple Tabs","tabsAndWindows/tabsAndWindows.spec.js","",""
"","1878","Scenario Sibling","chromium","2026-09-06","passed","2026-09-06","QA Playground - Radio And Checkbox - Default Result Text Validations","radioAndCheckbox/radioAndCheckbox-validation.spec.js","",""
"","2266","Scoped Dismiss: Low Disk Space Section","chromium","2026-09-06","passed","2026-09-06","QA Playground - Alerts And Dialogs - Default Result Text Validations","alertsAndDialogs/alertsAndDialogs-validation.spec.js","",""
"","3581","Mismatched Password And Confirm Password","chromium","2026-09-06","passed","2026-09-06","Account Setup Form Validation","forms/forms-negative.spec.js","",""
"","2620","Select Cypress","chromium","2026-09-06","passed","2026-09-06","QA Playground - Radio And Checkbox Tests > Checkbox Group","radioAndCheckbox/radioAndCheckbox.spec.js","",""
"","2856","Read Value Field","chromium","2026-09-06","passed","2026-09-06","QA Playground - Input Fields Tests > Scenario Read Value","inputFields/inputFields.spec.js","",""
"","3230","Right Click Button","chromium","2026-09-06","passed","2026-09-06","QA Playground - Buttons Tests > Right Click Section","buttons/buttons.spec.js","",""
"","2928","Select Starter","chromium","2026-09-06","passed","2026-09-06","QA Playground - Radio And Checkbox Tests > Scoped Card Controls","radioAndCheckbox/radioAndCheckbox.spec.js","",""
"","2041","Navigate Home Section","chromium","2026-09-06","passed","2026-09-06","QA Playground - Buttons - Button Text Validations","buttons/buttons-validation.spec.js","",""
